2024-05-09 19:20:09 install libsmartcols1:amd64 <none> 2.38.1-5+b1
2024-05-09 19:20:09 status half-installed libsmartcols1:amd64 2.38.1-5+b1
2024-05-09 19:20:10 status unpacked libsmartcols1:amd64 2.38.1-5+b1
2024-05-09 19:20:11 install libss2:amd64 <none> 1.47.0-2
2024-05-09 19:20:11 status half-installed libss2:amd64 1.47.0-2
2024-05-09 19:20:11 status unpacked libss2:amd64 1.47.0-2
2024-05-09 19:20:13 install libstdc++6:amd64 <none> 12.2.0-14
2024-05-09 19:20:13 status half-installed libstdc++6:amd64 12.2.0-14
2024-05-09 19:20:13 status unpacked libstdc++6:amd64 12.2.0-14
2024-05-09 19:20:13 install libsystemd0:amd64 <none> 252.22-1~deb12u1
2024-05-09 19:20:13 status half-installed libsystemd0:amd64 252.22-1~deb12u1
2024-05-09 19:20:14 status unpacked libsystemd0:amd64 252.22-1~deb12u1
2024-05-09 19:20:14 install libtasn1-6:amd64 <none> 4.19.0-2
2024-05-09 19:20:14 status half-installed libtasn1-6:amd64 4.19.0-2
2024-05-09 19:20:16 status unpacked libtasn1-6:amd64 4.19.0-2
2024-05-09 19:20:17 install libtext-glob-perl:all <none> 0.11-3
2024-05-09 19:20:17 status half-installed libtext-glob-perl:all 0.11-3
2024-05-09 19:20:18 status unpacked libtext-glob-perl:all 0.11-3
2024-05-09 19:20:19 install libtinfo6:amd64 <none> 6.4-4
2024-05-09 19:20:19 status half-installed libtinfo6:amd64 6.4-4
2024-05-09 19:20:21 status unpacked libtinfo6:amd64 6.4-4
2024-05-09 19:20:24 install libudev1:amd64 <none> 252.22-1~deb12u1
2024-05-09 19:20:24 status half-installed libudev1:amd64 252.22-1~deb12u1
2024-05-09 19:20:25 status unpacked libudev1:amd64 252.22-1~deb12u1
2024-05-09 19:20:27 install libunistring2:amd64 <none> 1.0-2
2024-05-09 19:20:27 status half-installed libunistring2:amd64 1.0-2
2024-05-09 19:20:29 status unpacked libunistring2:amd64 1.0-2
2024-05-09 19:20:32 install libuuid1:amd64 <none> 2.38.1-5+b1
2024-05-09 19:20:32 status half-installed libuuid1:amd64 2.38.1-5+b1
2024-05-09 19:20:33 status unpacked libuuid1:amd64 2.38.1-5+b1
2024-05-09 19:20:33 install libxxhash0:amd64 <none> 0.8.1-1
2024-05-09 19:20:33 status half-installed libxxhash0:amd64 0.8.1-1
2024-05-09 19:20:34 status unpacked libxxhash0:amd64 0.8.1-1
2024-05-09 19:20:34 install libzstd1:amd64 <none> 1.5.4+dfsg2-5
2024-05-09 19:20:34 status half-installed libzstd1:amd64 1.5.4+dfsg2-5
2024-05-09 19:20:35 status unpacked libzstd1:amd64 1.5.4+dfsg2-5
2024-05-09 19:20:35 install login:amd64 <none> 1:4.13+dfsg1-1+b1
2024-05-09 19:20:35 status half-installed login:amd64 1:4.13+dfsg1-1+b1
2024-05-09 19:20:37 status unpacked login:amd64 1:4.13+dfsg1-1+b1
