2024-05-11 14:54:58 status unpacked ncurses-base:all 6.4-4
2024-05-11 14:54:58 install ncurses-bin:amd64 <none> 6.4-4
2024-05-11 14:54:58 status half-installed ncurses-bin:amd64 6.4-4
2024-05-11 14:54:58 status unpacked ncurses-bin:amd64 6.4-4
2024-05-11 14:54:59 install passwd:amd64 <none> 1:4.13+dfsg1-1+b1
2024-05-11 14:54:59 status half-installed passwd:amd64 1:4.13+dfsg1-1+b1
2024-05-11 14:54:59 status unpacked passwd:amd64 1:4.13+dfsg1-1+b1
2024-05-11 14:55:00 install perl:amd64 <none> 5.36.0-7+deb12u1
2024-05-11 14:55:00 status half-installed perl:amd64 5.36.0-7+deb12u1
2024-05-11 14:55:00 status unpacked perl:amd64 5.36.0-7+deb12u1
2024-05-11 14:55:00 upgrade perl-base:amd64 5.36.0-7+deb12u1 5.36.0-7+deb12u1
2024-05-11 14:55:00 status half-configured perl-base:amd64 5.36.0-7+deb12u1
2024-05-11 14:55:00 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2024-05-11 14:55:00 status half-installed perl-base:amd64 5.36.0-7+deb12u1
2024-05-11 14:55:01 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2024-05-11 14:55:01 install perl-modules-5.36:all <none> 5.36.0-7+deb12u1
2024-05-11 14:55:01 status half-installed perl-modules-5.36:all 5.36.0-7+deb12u1
2024-05-11 14:55:02 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2024-05-11 14:55:02 install sed:amd64 <none> 4.9-1
2024-05-11 14:55:02 status half-installed sed:amd64 4.9-1
2024-05-11 14:55:02 status unpacked sed:amd64 4.9-1
2024-05-11 14:55:03 install sysvinit-utils:amd64 <none> 3.06-4
2024-05-11 14:55:03 status half-installed sysvinit-utils:amd64 3.06-4
2024-05-11 14:55:03 status unpacked sysvinit-utils:amd64 3.06-4
2024-05-11 14:55:03 install tar:amd64 <none> 1.34+dfsg-1.2+deb12u1
2024-05-11 14:55:03 status half-installed tar:amd64 1.34+dfsg-1.2+deb12u1
2024-05-11 14:55:03 status unpacked tar:amd64 1.34+dfsg-1.2+deb12u1
2024-05-11 14:55:04 install tzdata:all <none> 2024a-0+deb12u1
2024-05-11 14:55:04 status half-installed tzdata:all 2024a-0+deb12u1
2024-05-11 14:55:05 status unpacked tzdata:all 2024a-0+deb12u1
2024-05-11 14:55:05 install usrmerge:all <none> 37~deb12u1
2024-05-11 14:55:05 status half-installed usrmerge:all 37~deb12u1
2024-05-11 14:55:05 status unpacked usrmerge:all 37~deb12u1
2024-05-11 14:55:06 install util-linux:amd64 <none> 2.38.1-5+b1
2024-05-11 14:55:06 status half-installed util-linux:amd64 2.38.1-5+b1
2024-05-11 14:55:06 status unpacked util-linux:amd64 2.38.1-5+b1
2024-05-11 14:55:06 install util-linux-extra:amd64 <none> 2.38.1-5+b1
2024-05-11 14:55:06 status half-installed util-linux-extra:amd64 2.38.1-5+b1
2024-05-11 14:55:07 status unpacked util-linux-extra:amd64 2.38.1-5+b1
2024-05-11 14:55:07 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1
2024-05-11 14:55:07 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1
2024-05-11 14:55:07 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1
2024-05-11 14:55:07 startup packages configure
2024-05-11 14:55:07 configure libtext-glob-perl:all 0.11-3 <none>
2024-05-11 14:55:07 status unpacked libtext-glob-perl:all 0.11-3
2024-05-11 14:55:07 status half-configured libtext-glob-perl:all 0.11-3
2024-05-11 14:55:07 status installed libtext-glob-perl:all 0.11-3
2024-05-11 14:55:07 configure debian-archive-keyring:all 2023.3+deb12u1 <none>
2024-05-11 14:55:07 status unpacked debian-archive-keyring:all 2023.3+deb12u1
2024-05-11 14:55:08 status half-configured debian-archive-keyring:all 2023.3+deb12u1
2024-05-11 14:55:08 status installed debian-archive-keyring:all 2023.3+deb12u1
2024-05-11 14:55:08 configure libaudit-common:all 1:3.0.9-1 <none>
2024-05-11 14:55:08 status unpacked libaudit-common:all 1:3.0.9-1
2024-05-11 14:55:08 status half-configured libaudit-common:all 1:3.0.9-1
2024-05-11 14:55:09 status installed libaudit-common:all 1:3.0.9-1
2024-05-11 14:55:09 configure libsemanage-common:all 3.4-1 <none>
2024-05-11 14:55:09 status unpacked libsemanage-common:all 3.4-1
2024-05-11 14:55:09 status half-configured libsemanage-common:all 3.4-1
2024-05-11 14:55:09 status installed libsemanage-common:all 3.4-1
2024-05-11 14:55:09 configure debconf:all 1.5.82 <none>
2024-05-11 14:55:09 status unpacked debconf:all 1.5.82
2024-05-11 14:55:09 status half-configured debconf:all 1.5.82
2024-05-11 14:55:09 status installed debconf:all 1.5.82
2024-05-11 14:55:09 configure libnumber-compare-perl:all 0.03-3 <none>
2024-05-11 14:55:09 status unpacked libnumber-compare-perl:all 0.03-3
2024-05-11 14:55:09 status half-configured libnumber-compare-perl:all 0.03-3
