2024-05-12 13:50:27 status half-installed libpcre2-8-0:amd64 10.42-1
2024-05-12 13:50:28 status unpacked libpcre2-8-0:amd64 10.42-1
2024-05-12 13:50:28 install libperl5.36:amd64 <none> 5.36.0-7+deb12u1
2024-05-12 13:50:28 status half-installed libperl5.36:amd64 5.36.0-7+deb12u1
2024-05-12 13:50:29 status unpacked libperl5.36:amd64 5.36.0-7+deb12u1
2024-05-12 13:50:29 install libseccomp2:amd64 <none> 2.5.4-1+b3
2024-05-12 13:50:29 status half-installed libseccomp2:amd64 2.5.4-1+b3
2024-05-12 13:50:29 status unpacked libseccomp2:amd64 2.5.4-1+b3
2024-05-12 13:50:30 install libselinux1:amd64 <none> 3.4-1+b6
2024-05-12 13:50:30 status half-installed libselinux1:amd64 3.4-1+b6
2024-05-12 13:50:30 status unpacked libselinux1:amd64 3.4-1+b6
2024-05-12 13:50:30 install libsemanage-common:all <none> 3.4-1
2024-05-12 13:50:30 status half-installed libsemanage-common:all 3.4-1
2024-05-12 13:50:30 status unpacked libsemanage-common:all 3.4-1
2024-05-12 13:50:31 install libsemanage2:amd64 <none> 3.4-1+b5
2024-05-12 13:50:31 status half-installed libsemanage2:amd64 3.4-1+b5
2024-05-12 13:50:31 status unpacked libsemanage2:amd64 3.4-1+b5
2024-05-12 13:50:31 install libsepol2:amd64 <none> 3.4-2.1
2024-05-12 13:50:31 status half-installed libsepol2:amd64 3.4-2.1
2024-05-12 13:50:31 status unpacked libsepol2:amd64 3.4-2.1
2024-05-12 13:50:32 install libsmartcols1:amd64 <none> 2.38.1-5+b1
2024-05-12 13:50:32 status half-installed libsmartcols1:amd64 2.38.1-5+b1
2024-05-12 13:50:32 status unpacked libsmartcols1:amd64 2.38.1-5+b1
2024-05-12 13:50:32 install libss2:amd64 <none> 1.47.0-2
2024-05-12 13:50:32 status half-installed libss2:amd64 1.47.0-2
2024-05-12 13:50:33 status unpacked libss2:amd64 1.47.0-2
2024-05-12 13:50:33 install libstdc++6:amd64 <none> 12.2.0-14
2024-05-12 13:50:33 status half-installed libstdc++6:amd64 12.2.0-14
2024-05-12 13:50:33 status unpacked libstdc++6:amd64 12.2.0-14
2024-05-12 13:50:33 install libsystemd0:amd64 <none> 252.22-1~deb12u1
2024-05-12 13:50:33 status half-installed libsystemd0:amd64 252.22-1~deb12u1
2024-05-12 13:50:34 status unpacked libsystemd0:amd64 252.22-1~deb12u1
2024-05-12 13:50:34 install libtasn1-6:amd64 <none> 4.19.0-2
2024-05-12 13:50:34 status half-installed libtasn1-6:amd64 4.19.0-2
2024-05-12 13:50:34 status unpacked libtasn1-6:amd64 4.19.0-2
2024-05-12 13:50:34 install libtext-glob-perl:all <none> 0.11-3
2024-05-12 13:50:34 status half-installed libtext-glob-perl:all 0.11-3
2024-05-12 13:50:35 status unpacked libtext-glob-perl:all 0.11-3
2024-05-12 13:50:35 install libtinfo6:amd64 <none> 6.4-4
2024-05-12 13:50:35 status half-installed libtinfo6:amd64 6.4-4
2024-05-12 13:50:35 status unpacked libtinfo6:amd64 6.4-4
2024-05-12 13:50:36 install libudev1:amd64 <none> 252.22-1~deb12u1
2024-05-12 13:50:36 status half-installed libudev1:amd64 252.22-1~deb12u1
2024-05-12 13:50:36 status unpacked libudev1:amd64 252.22-1~deb12u1
2024-05-12 13:50:36 install libunistring2:amd64 <none> 1.0-2
2024-05-12 13:50:36 status half-installed libunistring2:amd64 1.0-2
2024-05-12 13:50:36 status unpacked libunistring2:amd64 1.0-2
2024-05-12 13:50:37 install libuuid1:amd64 <none> 2.38.1-5+b1
2024-05-12 13:50:37 status half-installed libuuid1:amd64 2.38.1-5+b1
2024-05-12 13:50:37 status unpacked libuuid1:amd64 2.38.1-5+b1
2024-05-12 13:50:37 install libxxhash0:amd64 <none> 0.8.1-1
2024-05-12 13:50:37 status half-installed libxxhash0:amd64 0.8.1-1
2024-05-12 13:50:37 status unpacked libxxhash0:amd64 0.8.1-1
2024-05-12 13:50:38 install libzstd1:amd64 <none> 1.5.4+dfsg2-5
2024-05-12 13:50:38 status half-installed libzstd1:amd64 1.5.4+dfsg2-5
2024-05-12 13:50:38 status unpacked libzstd1:amd64 1.5.4+dfsg2-5
2024-05-12 13:50:38 install login:amd64 <none> 1:4.13+dfsg1-1+b1
2024-05-12 13:50:38 status half-installed login:amd64 1:4.13+dfsg1-1+b1
2024-05-12 13:50:39 status unpacked login:amd64 1:4.13+dfsg1-1+b1
2024-05-12 13:50:39 install logsave:amd64 <none> 1.47.0-2
2024-05-12 13:50:39 status half-installed logsave:amd64 1.47.0-2
2024-05-12 13:50:39 status unpacked logsave:amd64 1.47.0-2
2024-05-12 13:50:39 upgrade mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2024-05-12 13:50:39 status half-configured mawk:amd64 1.3.4.20200120-3.1
2024-05-12 13:50:40 status unpacked mawk:amd64 1.3.4.20200120-3.1
2024-05-12 13:50:40 status half-installed mawk:amd64 1.3.4.20200120-3.1
2024-05-12 13:50:40 status unpacked mawk:amd64 1.3.4.20200120-3.1
2024-05-12 13:50:40 install mount:amd64 <none> 2.38.1-5+b1
2024-05-12 13:50:40 status half-installed mount:amd64 2.38.1-5+b1
2024-05-12 13:50:40 status unpacked mount:amd64 2.38.1-5+b1
2024-05-12 13:50:41 install ncurses-base:all <none> 6.4-4
2024-05-12 13:50:41 status half-installed ncurses-base:all 6.4-4
2024-05-12 13:50:41 status unpacked ncurses-base:all 6.4-4
2024-05-12 13:50:41 install ncurses-bin:amd64 <none> 6.4-4
2024-05-12 13:50:41 status half-installed ncurses-bin:amd64 6.4-4
2024-05-12 13:50:41 status unpacked ncurses-bin:amd64 6.4-4
2024-05-12 13:50:42 install passwd:amd64 <none> 1:4.13+dfsg1-1+b1
2024-05-12 13:50:42 status half-installed passwd:amd64 1:4.13+dfsg1-1+b1
2024-05-12 13:50:42 status unpacked passwd:amd64 1:4.13+dfsg1-1+b1
2024-05-12 13:50:46 install perl:amd64 <none> 5.36.0-7+deb12u1
2024-05-12 13:50:46 status half-installed perl:amd64 5.36.0-7+deb12u1
2024-05-12 13:50:46 status unpacked perl:amd64 5.36.0-7+deb12u1
2024-05-12 13:50:47 upgrade perl-base:amd64 5.36.0-7+deb12u1 5.36.0-7+deb12u1
2024-05-12 13:50:47 status half-configured perl-base:amd64 5.36.0-7+deb12u1
2024-05-12 13:50:47 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2024-05-12 13:50:47 status half-installed perl-base:amd64 5.36.0-7+deb12u1
2024-05-12 13:50:47 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2024-05-12 13:50:48 install perl-modules-5.36:all <none> 5.36.0-7+deb12u1
2024-05-12 13:50:48 status half-installed perl-modules-5.36:all 5.36.0-7+deb12u1
2024-05-12 13:50:49 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2024-05-12 13:50:49 install sed:amd64 <none> 4.9-1
2024-05-12 13:50:49 status half-installed sed:amd64 4.9-1
2024-05-12 13:50:49 status unpacked sed:amd64 4.9-1
2024-05-12 13:50:49 install sysvinit-utils:amd64 <none> 3.06-4
2024-05-12 13:50:49 status half-installed sysvinit-utils:amd64 3.06-4
2024-05-12 13:50:50 status unpacked sysvinit-utils:amd64 3.06-4
2024-05-12 13:50:50 install tar:amd64 <none> 1.34+dfsg-1.2+deb12u1
2024-05-12 13:50:50 status half-installed tar:amd64 1.34+dfsg-1.2+deb12u1
2024-05-12 13:50:50 status unpacked tar:amd64 1.34+dfsg-1.2+deb12u1
2024-05-12 13:50:51 install tzdata:all <none> 2024a-0+deb12u1
2024-05-12 13:50:51 status half-installed tzdata:all 2024a-0+deb12u1
2024-05-12 13:50:51 status unpacked tzdata:all 2024a-0+deb12u1
2024-05-12 13:50:52 install usrmerge:all <none> 37~deb12u1
2024-05-12 13:50:52 status half-installed usrmerge:all 37~deb12u1
2024-05-12 13:50:52 status unpacked usrmerge:all 37~deb12u1
2024-05-12 13:50:52 install util-linux:amd64 <none> 2.38.1-5+b1
2024-05-12 13:50:52 status half-installed util-linux:amd64 2.38.1-5+b1
2024-05-12 13:50:53 status unpacked util-linux:amd64 2.38.1-5+b1
2024-05-12 13:50:54 install util-linux-extra:amd64 <none> 2.38.1-5+b1
2024-05-12 13:50:54 status half-installed util-linux-extra:amd64 2.38.1-5+b1
2024-05-12 13:50:54 status unpacked util-linux-extra:amd64 2.38.1-5+b1
2024-05-12 13:50:54 install zlib1g:amd64 <none> 1:1.2.13.dfsg-1
2024-05-12 13:50:54 status half-installed zlib1g:amd64 1:1.2.13.dfsg-1
2024-05-12 13:50:54 status unpacked zlib1g:amd64 1:1.2.13.dfsg-1
2024-05-12 13:50:55 startup packages configure
2024-05-12 13:50:55 configure libtext-glob-perl:all 0.11-3 <none>
2024-05-12 13:50:55 status unpacked libtext-glob-perl:all 0.11-3
2024-05-12 13:50:55 status half-configured libtext-glob-perl:all 0.11-3
2024-05-12 13:50:55 status installed libtext-glob-perl:all 0.11-3
2024-05-12 13:50:55 configure debian-archive-keyring:all 2023.3+deb12u1 <none>
2024-05-12 13:50:55 status unpacked debian-archive-keyring:all 2023.3+deb12u1
2024-05-12 13:50:55 status half-configured debian-archive-keyring:all 2023.3+deb12u1
2024-05-12 13:50:55 status installed debian-archive-keyring:all 2023.3+deb12u1
2024-05-12 13:50:56 configure libaudit-common:all 1:3.0.9-1 <none>
2024-05-12 13:50:56 status unpacked libaudit-common:all 1:3.0.9-1
2024-05-12 13:50:56 status half-configured libaudit-common:all 1:3.0.9-1
2024-05-12 13:50:56 status installed libaudit-common:all 1:3.0.9-1
2024-05-12 13:50:56 configure libsemanage-common:all 3.4-1 <none>
2024-05-12 13:50:56 status unpacked libsemanage-common:all 3.4-1
2024-05-12 13:50:56 status half-configured libsemanage-common:all 3.4-1
2024-05-12 13:50:56 status installed libsemanage-common:all 3.4-1
2024-05-12 13:50:56 configure debconf:all 1.5.82 <none>
2024-05-12 13:50:56 status unpacked debconf:all 1.5.82
2024-05-12 13:50:56 status half-configured debconf:all 1.5.82
2024-05-12 13:50:56 status installed debconf:all 1.5.82
2024-05-12 13:50:56 configure libnumber-compare-perl:all 0.03-3 <none>
2024-05-12 13:50:56 status unpacked libnumber-compare-perl:all 0.03-3
2024-05-12 13:50:57 status half-configured libnumber-compare-perl:all 0.03-3
